Toko Fashion,,,,,,,,,,,,,,,,,,,
Order ID,Order Date,Customer Name,City,Product Name,Unit Price,Quantity,Discount (%),Subtotal,Discount Amount,Total Sales,Shipping Fee,Grand Total,Payment Method,,,,,,
ORD00001,12/13/2025 16:02,Clara Ananda,Pontianak,Rok Midi,"185,000",3,0,"555,000",0,"555,000","17,000","883,000",Transfer Bank,,,,,,
ORD00001,12/13/2025 16:02,Clara Ananda,Pontianak,Kemeja Formal,"311,000",1,0,"311,000",0,"311,000","17,000","883,000",Transfer Bank,,,,,,
ORD00002,10/28/2025 13:57,Qori Syahputra,Manokwari,Jaket Denim,"490,000",1,0,"490,000",0,"490,000","24,000","2,228,000",e-Wallet,Order Status,Platform,Customer Rating,Size,Material,Gender
ORD00002,10/28/2025 13:57,Qori Syahputra,Manokwari,Celana Pendek,"153,000",2,0,"306,000",0,"306,000","24,000","2,228,000",e-Wallet,,Toko Fashion App,3,XL,Polyester,Wanita
ORD00002,10/28/2025 13:57,Qori Syahputra,Manokwari,Gamis,"704,000",2,0,"1,408,000",0,"1,408,000","24,000","2,228,000",e-Wallet,,Toko Fashion App,3,XXL,Katun Oxford,Pria
ORD00003,12/9/2025 19:16,Lestari Setiawan,Banjarbaru,Gamis,"670,000",2,0,"1,340,000",0,"1,340,000","24,000","2,122,000",e-Wallet,,StyleMart,2,L,Chambray,Pria
ORD00003,12/9/2025 19:16,Lestari Setiawan,Banjarbaru,Jaket Denim,"539,000",1,0,"539,000",0,"539,000","24,000","2,122,000",e-Wallet,,StyleMart,2,XXL,Jersey,Pria
ORD00003,12/9/2025 19:16,Lestari Setiawan,Banjarbaru,Sweater,"219,000",1,0,"219,000",0,"219,000","24,000","2,122,000",e-Wallet,,StyleMart,2,M,Sutra,Wanita
ORD00004,6/15/2025 11:43,Eka Syahputra,Wamena,Kemeja Casual,"206,000",3,0,"618,000",0,"618,000","17,000","992,000",e-Wallet,,Toko Fashion App,5,M,Sutra,Wanita
ORD00004,6/15/2025 11:43,Eka Syahputra,Wamena,Jaket Bomber,"357,000",1,0,"357,000",0,"357,000","17,000","992,000",e-Wallet,,Toko Fashion App,5,L,Cotton,Pria
ORD00005,2/6/2025 19:08,Wahyu Santoso,Jakarta,Hoodie,"322,000",1,0,"322,000",0,"322,000","17,000","935,000",COD,,Toko Fashion App,5,S,Acrylic,Pria
ORD00005,2/6/2025 19:08,Wahyu Santoso,Jakarta,Dress Casual,"298,000",2,0,"596,000",0,"596,000","17,000","935,000",COD,,FashionKita,1,XXL,Linen,Pria
